date,is_holiday,holiday_name
2024-02-10,1,Tết Nguyên Đán
2024-02-11,1,Tết Nguyên Đán
2024-02-12,1,Tết Nguyên Đán
2024-02-13,1,Tết Nguyên Đán
2024-02-14,1,Tết Nguyên Đán
2024-04-18,1,Giỗ Tổ Hùng Vương
2024-04-30,1,Ngày Giải phóng Miền Nam
2024-05-01,1,Quốc tế Lao động
2024-09-02,1,Quốc khánh
2024-09-17,1,Tết Trung Thu
2024-09-05,1,Khai giảng
2024-11-29,1,Black Friday
2024-12-24,1,Chuẩn bị Giáng Sinh
2024-12-31,1,Tổng kết năm / Chuẩn bị Tết
2025-01-29,1,Tết Nguyên Đán
2025-01-30,1,Tết Nguyên Đán
2025-01-31,1,Tết Nguyên Đán
2025-02-01,1,Tết Nguyên Đán
2025-02-02,1,Tết Nguyên Đán
2025-04-06,1,Giỗ Tổ Hùng Vương
2025-04-30,1,Ngày Giải phóng Miền Nam
2025-05-01,1,Quốc tế Lao động
2025-09-01,1,Quốc khánh
2025-10-06,1,Tết Trung Thu
2025-09-05,1,Khai giảng
2025-11-28,1,Black Friday
2025-12-24,1,Chuẩn bị Giáng Sinh
2025-12-31,1,Tổng kết năm / Chuẩn bị Tết
